id;дата;вопрос;ответ;требует_проверки;причина;источники
982c7f13-127b-4ee8-abfb-d24544579e18;2026-08-26 14:21:41;Что делать при задержке поставки клиенту?;Сообщите клиенту о задержке, новой дате и причине в одном сообщении, используя шаблон ответа.;нет;;Сообщаем клиенту факт задержки, новую дату и причину в одном сообщении. [d5b4c629-c23a-4a56-972d-5f5f24405cfa]
296220d3-e953-47aa-a3c7-282db849cdd0;2026-08-26 14:21:38;Какой стандартный срок подготовки отчёта для клиента?;Стандартный срок подготовки отчёта — 2 рабочих дня после получения всех данных от клиента.;нет;;Стандартный срок подготовки отчёта — 2 рабочих дня после получения всех данных от клиента. [d5b4c629-c23a-4a56-972d-5f5f24405cfa]
b5780fe6-33c6-49ab-884d-935cdab872cd;2026-08-26 14:21:35;Куда нельзя писать секреты и токены?;Секреты и токены нельзя писать в чат, README или коммиты.;нет;;Секреты, токены и пароли нельзя писать в чат, README или коммиты. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
e37de1c9-d280-4582-b8cf-bd8e8d3d4287;2026-08-26 14:21:32;До какого времени нужно провести стендап?;Стендап нужно провести до 10:30.;нет;;Рабочий день начинается с короткого стендапа до 10:30. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
8d7d0f4b-bb80-4613-8422-c9789bbb01a4;2026-08-26 14:13:10;Какой пароль от квантового чайника Nebula-7?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
abb284de-0d42-4986-b851-6ffaeb4fbfe3;2026-08-26 14:13:10;Сколько стоит абонемент в марсианский фитнес-клуб Zogatron?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
dc8659b8-2089-4d0e-8adc-a888e5fce725;2026-08-26 14:13:10;Какой размер бонуса за лучший мем месяца?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
1f570a0d-654a-4e76-9eff-4d16ab71606e;2026-08-26 14:13:10;Какие шаги входят в процесс запуска задачи перед релизом?;По найденным материалам: Процесс запуска задачи. Шаг 1. Создать задачу в трекере с целью, Remком и владельцем. Шаг 8. Прогнать чеклист релиза: миграции, переменные окружения, rollback-план.;нет;;Процесс запуска задачи. [5e747b3f-c9a2-41ab-9caa-b87f47d94cc9] | Шаг 1. Создать задачу в трекере с целью, Remком и владельцем. [5e747b3f-c9a2-41ab-9caa-b87f47d94cc9] | Шаг 8. Прогнать чеклист релиза: миграции, переменные окружения, rollback-план. [5e747b3f-c9a2-41ab-9caa-b87f47d94cc9] | Шаг 10. Обновить базу знаний, если изменился процесс или ответ клиенту. [5e747b3f-c9a2-41ab-9caa-b87f47d94cc9]
69d1f9c2-bdfd-4f8a-87f7-2d3a28635578;2026-08-26 14:12:49;Что означает метка needs_review?;Метка needs_review означает, что система не уверена и просит человека о ручной проверке.;нет;;needs_review — метка ручной проверки: система не уверена и просит человека. [6c261b45-446c-417f-8fce-eb0699ea59e9]
24c143ab-6d9a-4ab7-aee7-149537f3506e;2026-08-26 14:12:46;Какой шаблон использовать для сообщения о задержке?;"Используйте шаблон B для сообщения о задержке: ""Здравствуйте! К сожалению, срок сдвигается. Новая дата: {date}. Причина: {reason}. Мы уже компенсируем задержку приоритетом на следующем этапе.""";нет;;Шаблон B. Задержка поставки: [fceeaf9e-8151-482f-8893-d85865717796]
91230159-832e-4702-8d12-c8af871edfff;2026-08-26 14:12:43;Что делать при задержке поставки клиенту?;Сообщите клиенту о задержке, новой дате и причине в одном сообщении, используя шаблон ответа.;нет;;Сообщаем клиенту факт задержки, новую дату и причину в одном сообщении. [d5b4c629-c23a-4a56-972d-5f5f24405cfa]
65c0019f-92b7-439b-9329-b3eb7afc8470;2026-08-26 14:12:40;Какой стандартный срок подготовки отчёта для клиента?;Стандартный срок подготовки отчёта — 2 рабочих дня после получения всех данных от клиента.;нет;;Стандартный срок подготовки отчёта — 2 рабочих дня после получения всех данных от клиента. [d5b4c629-c23a-4a56-972d-5f5f24405cfa]
159087eb-936a-41ad-9609-1da01ad69d8b;2026-08-26 14:12:37;Куда нельзя писать секреты и токены?;Секреты и токены нельзя писать в чат, README или коммиты.;нет;;Секреты, токены и пароли нельзя писать в чат, README или коммиты. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
c207d02e-7233-42e3-bb94-5ba0fa5bba54;2026-08-26 14:12:34;До какого времени нужно провести стендап?;Стендап нужно провести до 10:30.;нет;;Рабочий день начинается с короткого стендапа до 10:30. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
892ca7ec-533a-412b-9b2c-8da25a9874d0;2026-08-26 14:08:15;Какой пароль от квантового чайника Nebula-7?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
a489b1b2-0ee6-45c4-8c7d-fb016f2b0b0a;2026-08-26 14:08:15;Сколько стоит абонемент в марсианский фитнес-клуб Zogatron?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
18047b20-7806-46e4-9fd6-6324dc63dbb3;2026-08-26 14:08:15;Какой размер бонуса за лучший мем месяца?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
6740901a-132a-4c71-8674-8af9602fc192;2026-08-26 14:08:15;Какие шаги входят в процесс запуска задачи перед релизом?;Данных недостаточно для уверенного ответа. Требуется ручная проверка.;да;empty_sources;
0e9faee5-639e-4982-ba86-7f9cce45d73b;2026-08-26 14:08:13;Что означает метка needs_review?;Метка needs_review означает, что система не уверена и просит человека о ручной проверке.;нет;;needs_review — метка ручной проверки: система не уверена и просит человека. [6c261b45-446c-417f-8fce-eb0699ea59e9]
e7b6c9e7-563f-4ede-b6f8-3d4c985873aa;2026-08-26 14:08:10;Какой шаблон использовать для сообщения о задержке?;Используйте шаблон: 'Здравствуйте! К сожалению, срок сдвигается. Новая дата: {date}. Причина: {reason}. Мы уже компенсируем задержку приоритетом на следующем этапе.';нет;;Шаблон B. Задержка поставки: Здравствуйте! К сожалению, срок сдвигается. Новая дата: {date}. Причина: {reason}. [d5b4c629-c23a-4a56-972d-5f5f24405cfa]
0f9c1fd9-e66c-4fba-91d3-f2c4f47d3f05;2026-08-26 14:08:07;Что делать при задержке поставки клиенту?;Сообщите клиенту о задержке, новой дате и причине в одном сообщении, используя шаблон ответа.;нет;;Сообщаем клиенту факт задержки, новую дату и причину в одном сообщении. [d5b4c629-c23a-4a56-972d-5f5f24405cfa]
8964c595-feff-437e-a292-c5b53739392d;2026-08-26 14:08:03;Какой стандартный срок подготовки отчёта для клиента?;Стандартный срок подготовки отчёта — 2 рабочих дня после получения всех данных от клиента.;нет;;Стандартный срок подготовки отчёта — 2 рабочих дня после получения всех данных от клиента. [d5b4c629-c23a-4a56-972d-5f5f24405cfa]
4cb867d3-25fc-4f91-b701-bcfb452b69c2;2026-08-26 14:08:00;Куда нельзя писать секреты и токены?;Секреты и токены нельзя писать в чат, README или коммиты.;нет;;Секреты, токены и пароли нельзя писать в чат, README или коммиты. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
413cdefe-2f32-4c55-815f-cf689aa77ad2;2026-08-26 14:07:57;До какого времени нужно провести стендап?;Стендап нужно провести до 10:30.;нет;;Рабочий день начинается с короткого стендапа до 10:30. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
37d15ec0-1b4c-4aed-a852-70b373306df6;2026-08-25 12:14:54;как у нас принято отвечать клиенту при задержке?;При задержке поставки сообщаем клиенту факт задержки, новую дату и причину в одном сообщении, используя шаблон ответа о задержке.;нет;;Сообщаем клиенту факт задержки, новую дату и причину в одном сообщении. [d5b4c629-c23a-4a56-972d-5f5f24405cfa]
e7db5f74-be1a-4cfb-9514-4e83107d5e94;2026-08-25 11:31:39;Какой размер бонуса за лучший мем месяца?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
0832a1d4-db9f-4c92-bda1-1330efc77cae;2026-08-25 11:31:39;Что означает метка needs_review?;По найденным материалам: needs_review — метка ручной проверки: система не уверена и просит человека. (offline-режим без LLM_API_KEY).;нет;llm_key_missing_offline_mode;needs_review — метка ручной проверки: система не уверена и просит человека. [6c261b45-446c-417f-8fce-eb0699ea59e9]
9893cb56-5b41-442c-bae8-96c18d580307;2026-08-25 11:30:40;Какой пароль от квантового чайника Nebula-7?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
13131e79-fe9e-4d26-87ba-bb3ad1701e13;2026-08-25 11:30:40;Сколько стоит абонемент в марсианский фитнес-клуб Zogatron?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
7ff2a789-36b0-4e90-993b-01c21afd5996;2026-08-25 11:30:40;Какой размер бонуса за лучший мем месяца?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
0d9765c3-902d-457a-969c-81c857b498d8;2026-08-25 11:30:40;Какие шаги входят в процесс запуска задачи перед релизом?;По найденным материалам: 16. Релизы делаем по чеклисту процесса запуска задачи. 11. Новичок в первую неделю читает правила, словарь терминов и процесс запуска задачи. Процесс запуска задачи. (offline-режим без LLM_API_KEY).;нет;llm_key_missing_offline_mode;16. Релизы делаем по чеклисту процесса запуска задачи. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07] | 11. Новичок в первую неделю читает правила, словарь терминов и процесс запуска задачи. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07] | Процесс запуска задачи. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
3d51c361-32b3-4692-80f3-3308acf672c7;2026-08-25 11:30:40;Что означает метка needs_review?;По найденным материалам: needs_review — метка ручной проверки: система не уверена и просит человека. (offline-режим без LLM_API_KEY).;нет;llm_key_missing_offline_mode;needs_review — метка ручной проверки: система не уверена и просит человека. [6c261b45-446c-417f-8fce-eb0699ea59e9]
d771e55d-b302-4724-9184-e89cdc398173;2026-08-25 11:30:40;Какой шаблон использовать для сообщения о задержке?;По найденным материалам: Вопрос: Что делать при задержке поставки? Ответ: Сообщаем клиенту факт задержки, новую дату и причину в одном сообщении. Используем шаблон ответа о задержке. Шаблон B. Задержка поставки: Здравствуйте! К сожалению, срок сдвигается. Новая дата: {date}. Причина: {reason}. Мы уже компенсируем задержку приоритетом на следующем этапе. Правила использования шаблонов: 1. Не отправляйте шаблон без подстановки реальных данных. 2. Тон: спокойный, конкретный, без оправданий. 3. Если данных недостаточно — не… (offline-режим без LLM_API_KEY).;нет;llm_key_missing_offline_mode;Вопрос: Что делать при задержке поставки? Ответ: Сообщаем клиенту факт задержки, новую дату и причину в одном сообщении. Используем шаблон ответа о задержке. [d5b4c629-c23a-4a56-972d-5f5f24405cfa] | Шаблон B. Задержка поставки: Здравствуйте! К сожалению, срок сдвигается. Новая дата: {date}. Причина: {reason}. Мы уже компенсируем задержку приоритетом на следующем этапе. [fceeaf9e-8151-482f-8893-d85865717796] | Правила использования шаблонов: 1. Не отправляйте шаблон без подстановки реальных данных. 2. Тон: спокойный, конкретный, без оправданий. 3. Если данных недостаточно — не додумывайте, запросите уточнение. 4. Для задержки всегда указывайте но [fceeaf9e-8151-482f-8893-d85865717796]
ee9ffbcb-8f72-4faa-9fef-070d4ff769d6;2026-08-25 11:30:40;Что делать при задержке поставки клиенту?;По найденным материалам: Вопрос: Что делать при задержке поставки? Ответ: Сообщаем клиенту факт задержки, новую дату и причину в одном сообщении. Используем шаблон ответа о задержке. Шаблон B. Задержка поставки: Здравствуйте! К сожалению, срок сдвигается. Новая дата: {date}. Причина: {reason}. Мы уже компенсируем задержку приоритетом на следующем этапе. (offline-режим без LLM_API_KEY).;нет;llm_key_missing_offline_mode;Вопрос: Что делать при задержке поставки? Ответ: Сообщаем клиенту факт задержки, новую дату и причину в одном сообщении. Используем шаблон ответа о задержке. [d5b4c629-c23a-4a56-972d-5f5f24405cfa] | Шаблон B. Задержка поставки: Здравствуйте! К сожалению, срок сдвигается. Новая дата: {date}. Причина: {reason}. Мы уже компенсируем задержку приоритетом на следующем этапе. [fceeaf9e-8151-482f-8893-d85865717796]
3cea9e1f-f137-4f01-96bf-9f11b5f22628;2026-08-25 11:30:40;Какой стандартный срок подготовки отчёта для клиента?;По найденным материалам: Вопрос: Когда будет готов отчёт? Ответ: Стандартный срок подготовки отчёта — 2 рабочих дня после получения всех данных от клиента. (offline-режим без LLM_API_KEY).;нет;llm_key_missing_offline_mode;Вопрос: Когда будет готов отчёт? Ответ: Стандартный срок подготовки отчёта — 2 рабочих дня после получения всех данных от клиента. [d5b4c629-c23a-4a56-972d-5f5f24405cfa]
3f18a4e0-fea1-48eb-90c4-41797234ced2;2026-08-25 11:30:40;Куда нельзя писать секреты и токены?;По найденным материалам: 5. Секреты, токены и пароли нельзя писать в чат, README или коммиты. Только переменные окружения. (offline-режим без LLM_API_KEY).;нет;llm_key_missing_offline_mode;5. Секреты, токены и пароли нельзя писать в чат, README или коммиты. Только переменные окружения. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
84c63003-d1fc-4058-8d88-9d9f0e89a95b;2026-08-25 11:30:40;До какого времени нужно провести стендап?;По найденным материалам: 1. Рабочий день начинается с короткого стендапа до 10:30. Каждый сообщает статус задачи, блокеры и план на день. Шаг 4. Согласовать приоритет на стендапе или с тимлидом. (offline-режим без LLM_API_KEY).;нет;llm_key_missing_offline_mode;1. Рабочий день начинается с короткого стендапа до 10:30. Каждый сообщает статус задачи, блокеры и план на день. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07] | Шаг 4. Согласовать приоритет на стендапе или с тимлидом. [5e747b3f-c9a2-41ab-9caa-b87f47d94cc9]
